Reporting ID,Data Year,MapLot,Annual Report Received,BEUDO Category,PD Parcel Living Area,PD Parcel Units,Address,Year Built,Buildings Included,Buildings Included Count,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2),Latitude,Longitude,Location
B1030,2022,118-33,Yes,Municipal,52800,1,795 Massachusetts Avenue,1889,517-38,1,Office,Office (59140.0),59140,,CAMBRIDGE CITY OF,CITY HALL,,549535.9,1875016.9,19786,1978597.9,,,,,,,,,,3853614.8,4030586.6,65.2,68.2,7327575,7480695.5,123.9,126.5,240.7,4.1,375,6.34,42.3671304962273,-71.1056590000904,POINT (-71.1056590000904 42.3671304962273)
B1260,2022,144-1,Yes,Non-Residential,2402868,15,7 Divinity Ave,1981,241-48,1,College/University,College/University (110655.0),110655,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,3375700.3,11517890.8,2793.7,279365,,,,,,,6147480.9,7289190.3,,25233927,24919138.2,228,225.2,46906830.6,46623937.2,423.9,421.3,1638.9,14.8,1588.8,14.36,42.3775405981149,-71.1145577079866,POINT (-71.1145577079866 42.3775405981149)
B1716,2022,267.3-228,Yes,Non-Residential,84308,5,127 Smith Place,1960,46-6,1,Mixed Use Property,"Parking (4000.0),Other (57521.0)",57521,,"CCF ASVRF 127 SMITH, LLC","C/O CABOT, CABOT & FORBES",,220258,751520.3,1430,143000,,1099777.2,,,,,,,,1994297.5,2092369.6,34.7,36.4,3365181.8,3473012.4,58.5,60.4,142.5,2.5,288.6,5.02,42.3940868751144,-71.1513355195926,POINT (-71.1513355195926 42.3940868751144)
B1703,2022,168-21,Yes,Non-Residential,32241,3,1 Mifflin Place,1989,355-10,1,Office,"Office (20353.0),Retail Store (7094.0)",27447,,"119 MOUNT AUBURN STREET LLC,",C/O UPLAND CAPITAL CORPORATION,,293456.1,1001272.4,10589,1058900,,,,,,,,,,2060172.3,2143982.7,75.1,78.1,3915407.6,3978136.5,142.7,144.9,127.2,4.6,333.9,12.17,42.3734118465041,-71.1225425776955,POINT (-71.1225425776955 42.3734118465041)
B1455,2022,116-98,Yes,Residential,107801,127,929 Massachusetts Ave.,1975,493-8,1,Multifamily Housing,"Multifamily Housing (120066.0),Parking (29990.0)",120066,127,"GPT-929 HOUSE, LLC.",EQR-R.E TAX DEPARTMENT,80,1177947.9,4019158.6,13412.5,1341255,,,,,,,,,,5360413.6,5676100.6,44.6,47.3,12661961.8,13489195.4,105.5,112.3,356,3,3010.8,25.08,42.3690983857667,-71.1088204162437,POINT (-71.1088204162437 42.3690983857667)
B1568,2022,54-28,Yes,Residential,186530,350,229 VASSAR ST,2002,703-6,1,College/University,College/University (191190.0),191190,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,1835589.8,6263033.2,,,,,,,,,3390792.2,12862961.9,,22516787.3,23153791.6,117.8,121.1,36096785.6,37045440.7,188.8,193.8,1476.5,7.7,5224.4,27.33,42.3571080575707,-71.1015206381259,POINT (-71.1015206381259 42.3571080575707)
B1446,2022,"268A-52, 268A-48, 268A-49, 268A-50, 268A-51",Yes,Residential,168698,,1 Jackson Place,1952,"59-22, 59-25, 59-31, 59-36, 59-37, 59-38, 59-39, 59-40, 59-42",9,Multifamily Housing,Multifamily Housing (207765.0),207765,175,CAMBRIDGE HOUSING AUTHORITY,,73,331356.9,1130590,170575,17057500.8,,,,,,,,,82484,18188090.8,19230023.2,87.5,92.6,21076027.9,22170056.9,101.4,106.7,986.1,4.7,5626.8,27.08,42.3920727942514,-71.1348563853936,POINT (-71.1348563853936 42.3920727942514)
B1222,2022,159-1,Yes,Non-Residential,1223988,1027,11 Quincy St,1948,318-35,1,College/University,College/University (120788.0),120788,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,584597.1,1994645.6,,,,,,,,,1573292.9,2161570.1,,5729508.6,5823397.3,47.4,48.2,9617162,9749742,79.6,80.7,367.8,3,628.1,5.2,42.372755242365,-71.1154876619279,POINT (-71.1154876619279 42.372755242365)
B1168,2022,143-17,Yes,Non-Residential,58420,1,45 Quincy St,1878,266-20,1,College/University,College/University (119575.0),119575,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"C/O HARVARD REAL ESTATE, INC.",,1317994.8,4496998.7,11231.4,1123143,,,,,,,3692980,12305950.1,,21619071.7,21918141.2,180.8,183.3,31936071.9,32391131.7,267.1,270.9,1390,11.6,2814.4,23.54,42.375969486503,-71.1150846088439,POINT (-71.1150846088439 42.375969486503)
B1798,2022,92-124,Yes,Residential,76782,60,68 Brookline St,2000,665-2,1,Multifamily Housing,Multifamily Housing (6440.0),6440,6,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,30933,105543.4,2805.1,280510.4,,,,,,,,,,386053.7,408459.4,59.9,63.4,590057.4,613583.3,91.6,95.3,22.4,3.5,234.5,36.42,42.3625346040071,-71.1025356048655,POINT (-71.1025356048655 42.3625346040071)
B1579,2022,85-76,Yes,Non-Residential,34806,,288 Norfolk St,1920,"385-50, 385-53, 385-56, 385-61",4,Office,Office (30930.0),30930,,"NORSHIRE LLC,",,,305766,1043273.6,4816,481600,,,,,,,,,,1524873.6,1585282.4,49.3,51.3,3426846,3490275.3,110.8,112.8,99.5,3.2,302.2,9.77,42.3711935560576,-71.0971173796293,POINT (-71.0971173796293 42.3711935560576)
B1220,2022,157-69,Yes,Non-Residential,1462119,18,1805 Cambridge St,1931,266-17,1,College/University,College/University (90341.0),90341,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,575855.7,1964820,,,,,,,,,1254173,4323630.1,,7542623.1,7812953.2,83.5,86.5,11844298.1,12181094.5,131.1,134.8,492.4,5.5,736.7,8.15,42.376415608643,-71.1182431167587,POINT (-71.1182431167587 42.376415608643)
B1334,2022,14-1038,Yes,Non-Residential,959849,0,250 Kendall Street,2013,"620-89, 620-82",2,Multifamily Housing,"Strip Mall (1052.0),Restaurant (6500.0),Multifamily Housing (147644.0)",155196,144,"TP/P KENDALL SQUARE, LLC.",,66,1044724,3564598.7,48993.2,4899322.4,,,,,,,,,,8463921,8714623.4,54.5,56.2,15125164.7,15388402.2,97.5,99.2,518,3.3,4095.1,26.39,42.3635167827762,-71.0828464228016,POINT (-71.0828464228016 42.3635167827762)
B1209,2022,144-1,Yes,Non-Residential,2402868,15,13 Frisbie Place,2003,241-39,1,College/University,College/University (60118.0),60118,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,1585789.6,5410714.7,,,,,,,,,5893846.4,7188630.1,,18493191.2,18496683.7,307.6,307.7,29161618.8,29299779.8,485.1,487.4,1171.3,19.5,1152.6,19.17,42.3777623990077,-71.1149317911881,POINT (-71.1149317911881 42.3777623990077)
B1084,2022,8-75,Yes,Non-Residential,230831,,2 First Street,1999,468-2,1,Office,"Office (212790.0),Parking (63464.0)",212790,,"TWO CANAL PARK MASSACHUSETTS, LLC,",,85,2507459.7,8555453.7,,,,,,,,,,,,8555453.7,8405615.8,40.2,39.5,23955270.3,23535724.3,112.6,110.6,606.2,2.8,1848,8.68,42.3701704287451,-71.0763212587556,POINT (-71.0763212587556 42.3701704287451)
B1604,2022,267.4-254,Yes,Non-Residential,46666,2,100 smith place,1960,69-2,1,Other - Services,"Parking (28000.0),Other - Services (46666.0)",46666,,"JOLLY GREEN GIANT, LLC.",,,65211.7,222502.5,10224.6,1022462.4,,,,,,,,,,1244964.8,1380505,26.7,29.6,1696592.4,1839937.9,36.4,39.4,70.1,1.5,263.7,5.65,42.3930811363212,-71.1499367072702,POINT (-71.1499367072702 42.3930811363212)
B1013,2022,173-48,Yes,Residential,56614,122,1648 Mass Ave,1900,220-1,1,Multifamily Housing,Multifamily Housing (27604.0),27604,35,"MILLER, TUCKER REED",,100,100955,344458.4,3662.7,366272.7,,,,,,,,,,710731.1,710971.1,25.7,25.8,1349070,1339160,48.9,48.5,44.4,1.6,895.8,32.45,42.3813689012667,-71.1201280438628,POINT (-71.1201280438628 42.3813689012667)
B1190,2022,161-76,Yes,Residential,213953,,10 Holyoke Pl,1930,"424-3, 424-9",2,Residence Hall/Dormitory,Residence Hall/Dormitory (216722.0),216722,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"C/O HARVARD REAL ESTATE, INC.",,1433530.2,4891205.5,3833.2,383318,,,,,,,4250845.4,8700469.9,,18225838.9,18462272.1,84.1,85.2,28433151.6,28799140.7,131.2,132.9,1168.6,5.4,5980.6,27.6,42.3707966849083,-71.1183499190342,POINT (-71.1183499190342 42.3707966849083)
B1477,2022,52A-21,Yes,Non-Residential,3691096,0,60  VASSAR ST,1968,668-39,1,College/University,College/University (75808.0),75808,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,5721220.4,19520806.4,16,1600,,,,,,,17555268.1,14690975.8,,51768650.2,51451718.6,682.9,678.7,88309079.3,88193151,1164.9,1163.4,3283.8,43.3,982.3,12.96,42.3608549203825,-71.0927317468739,POINT (-71.0927317468739 42.3608549203825)
B1765,2022,69-183,Yes,Non-Residential,146052,1,88 Sidney St,2002,687-5,1,Laboratory,"Office (43583.0),Laboratory (101692.0)",145275,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,OFFICE OF THE TREASURER,,5141463.6,17542675.9,179920,17991999.7,,,,,,,,,,35534675.6,36156744,244.6,248.9,68011092.1,68465311.2,468.2,471.3,2198.6,15.1,3555.5,24.47,42.3603598982167,-71.1016915743977,POINT (-71.1016915743977 42.3603598982167)
B1607,2022,169-84,Yes,Non-Residential,25353,4,66 Church Street,1929,345-6,1,Mixed Use Property,"Office (12556.0),Retail Store (6979.0)",19535,,"DIGIOVANNI, JOHN P. TRUSTEE OF",45 BRATTLE STREET REALTY TRUST.,,98340.3,335537.1,5028.5,502845.2,,,,,,,,,,838382.2,897364.5,42.9,45.9,1467491.2,1529422.6,75.1,78.3,50.5,2.6,3.8,0.19,42.3739577132385,-71.1210450569813,POINT (-71.1210450569813 42.3739577132385)
B1237,2022,144-1,Yes,Non-Residential,2402868,15,60 Oxford Street,2001,241-3,1,Office,Office (97036.0),97036,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,72,984177.3,3358013.4,,,,,,,,,1472195.2,2282460,,7112668.6,7232412.1,73.3,74.5,13488028.4,13646858,139,140.6,467.1,4.8,0,0,42.380417746218,-71.1160810370403,POINT (-71.1160810370403 42.380417746218)
B1562,2022,27-99,Yes,Non-Residential,33111,,"245 BENT ST, 247R BENT ST, 255 BENT ST",1965,"543-16, 543-46",2,K-12 School,K-12 School (60000.0),60000,,COMMUNITY CHARTER SCHOOL OF,,,114836.5,391822.2,,,,,,,,,,,,,,,,,,,,,,,,42.3678011964773,-71.0851763707018,POINT (-71.0851763707018 42.3678011964773)
B1636,2022,242-38,Yes,Non-Residential,109553,12,178 Coolidge Hill,2008,387-32,1,K-12 School,"K-12 School (42978.0),Parking (10000.0)",42978,,SHADY HILL SCHOOL,,4,424279.9,1447643.4,24353,2435299.9,,,,,,,,,98034.8,4217431.8,4487877.9,98.1,104.4,6944954.8,7229583.6,161.6,168.2,255.6,5.9,674.9,15.7,42.3707941741008,-71.1387907469702,POINT (-71.1387907469702 42.3707941741008)
B1893,2022,197-4,Yes,Municipal,145715,,70 Rindge Avenue,1999,73-1,1,K-12 School,K-12 School (108989.0),108989,,CAMBRIDGE CITY OF,SCHOOL DEPT,47,836678,2854745.8,68034.7,6803466.8,,,,,,,,,,9658212.5,10284029.2,88.6,94.4,15136928.3,15714803.4,138.9,144.2,567.8,5.2,510.8,4.69,42.3920774412068,-71.1282994262893,POINT (-71.1282994262893 42.3920774412068)
B1693,2022,267.1-281,Yes,Residential,323090,320,203 Concord Turnpike,2021,"9-2, 9-3",2,Multifamily Housing,"Multifamily Housing (200000.0),Parking (7000.0)",200000,191,"THE RESIDENCES AT ALEWIFE STATION, LLP",,100,,,10938.7,1093865.9,,,,,,,,,,2245022.9,,11.2,,4371799,,21.9,,141.3,0.7,17107.5,85.54,42.3992888189286,-71.1492790990663,POINT (-71.1492790990663 42.3992888189286)
B1490,2022,52A-21,Yes,Non-Residential,3691096,0,50  VASSAR ST,1983,668-34,1,College/University,College/University (26966.0),26966,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,227537,776356.2,,,,,,,,,1577004,340290,,2693650.2,2741399.8,99.9,101.7,4018253.9,4075698.7,149,151.1,160.7,6,,,42.3611190126205,-71.0919389494106,POINT (-71.0919389494106 42.3611190126205)
B1676,2022,269-132,Yes,Non-Residential,92672,1,1 Alewife Center,1988,24-3,1,Office,Office (89875.0),89875,,"IQHQ ALEWIFE, LLC",,93,601018.6,2050675.8,,,,,,,,,,,,2050675.8,2050675.8,22.8,22.8,5741892.2,5741892.2,63.9,63.9,145.3,1.6,,,42.3985142177798,-71.1398854507817,POINT (-71.1398854507817 42.3985142177798)
B1732,2022,252-160,Yes,Non-Residential,137061,1,625 Mount Auburn St,1962,274-35,1,Office,"Office (108561.0),Medical Office (28860.0),Parking (91632.0)",137421,,"NC-P MOUNT AUBURN, LLC",,54,2949029.7,10062090.4,1239,123900,,,,,,,,,,10185990.4,10190197.4,74.1,74.2,28303948.2,28308365.5,206,206,719.5,5.2,783.4,5.7,42.3755844044061,-71.1470997456265,POINT (-71.1470997456265 42.3755844044061)
B1831,2022,172-2,Yes,Residential,25471,53,16 Chauncy Street,1910,252-8,1,Multifamily Housing,Multifamily Housing (47000.0),47000,53,"SANCHEZ, MARIA PIA",,96,93650,319533.8,25739,2573899.9,,,,,,,,,,2893433.7,3082394.4,61.6,65.6,3597289.5,3795698.3,76.5,80.8,159.4,3.4,884.8,18.82,42.3794219522403,-71.122339342789,POINT (-71.122339342789 42.3794219522403)
B1793,2022,76-85,Yes,Residential,53724,61,243 Broadway,1879,527-24,1,Multifamily Housing,Multifamily Housing (57927.0),57927,61,"THE CLOSE BUILDING LLC,",C/O MALONEY PROPERTIES,93,481346.9,1642356,19560.8,1956078.7,,,,,,,,,,1642356,1642356,28.4,28.4,4598596.7,4598596.7,79.4,79.4,118.8,2.1,1639.7,28.31,42.3674022702043,-71.0956280368268,POINT (-71.0956280368268 42.3674022702043)
B1143,2022,169-94,Yes,Non-Residential,112620,3,6 Appian Way,1972,319-13,1,College/University,College/University (95908.0),95908,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,1645892.6,5615786.4,61824.6,6182458,,,,,,,,,0,11798244.4,12254223.7,123,127.8,22215782.8,22694561.1,231.6,236.6,726.3,7.6,1691.4,17.64,42.3748880651895,-71.1217494113531,POINT (-71.1217494113531 42.3748880651895)
B1533,2022,105-81,No,Non-Residential,32761,10,690-694 Massachusetts Ave.,1902,592-6,1,Other - Mall,Other - Mall (3017.0),3017,,CENTRAL PROPERTY LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,0,0,49.6,16.45,42.3657275424649,-71.1047432681502,POINT (-71.1047432681502 42.3657275424649)
B1254,2022,144-1,Yes,Non-Residential,2402868,15,6 Divinity Ave,1902,241-43,1,College/University,College/University (30908.0),30908,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,119268.9,406945.7,,,,,,,,,,978050,,1384995.6,1475185,44.8,47.7,2316082.2,2424583.6,74.9,78.4,93.8,3,42.4,1.37,42.3780778919904,-71.1139368618742,POINT (-71.1139368618742 42.3780778919904)
B1382,2022,46-12,Yes,Non-Residential,380269,3,One Memorial Drive,1985,680-3,1,Office,"Office (368425.0),Parking (84120.0),Fitness Center/Health Club/Gym (1011.0)",369436,,"ONE MEMORIAL OWNER LLC,",C/O OXFORD PROPERTIES GROUP,78,5760508.3,19654856.7,7135.6,713561.6,,,,,,,,,,20368418.3,20438808.5,55.1,55.3,55782838.4,55856748.1,151,151.2,1430.5,3.9,3132.6,8.48,42.3615946151249,-71.0813422679224,POINT (-71.0813422679224 42.3615946151249)
B1541,2022,169-42,Yes,Non-Residential,55187,,12-30 Palmer Street,1963,345-3,1,Retail Store,Retail Store (52000.0),52000,,HARVARD COOPERATIVE SOCIETY,,97,279007.4,951973.4,236.8,23680.7,,759138,,,,,,,,1734792.2,,33.4,,3457119.8,,66.5,,125,2.4,286.8,5.52,42.3739283551184,-71.120233441946,POINT (-71.120233441946 42.3739283551184)
B1826,2022,177-55,Yes,Residential,81878,103,3 Arlington Street,1920,120-8,1,Multifamily Housing,Multifamily Housing (107675.0),107675,108,"MCFARLAND, DENNIS & MICHELLE B SIMONS,","KINDER, PETER",93,299672,1022480.9,64656,6465599.5,,,,,,,,,,7488080.4,8006387.1,69.5,74.4,9651825.9,10161762.9,89.6,94.4,415.9,3.9,,,42.3867187906893,-71.1198326898817,POINT (-71.1198326898817 42.3867187906893)
B1749,2022,185-59,Yes,Non-Residential,135082,0,45 Matignon Road,1875,2-5,1,K-12 School,K-12 School (90000.0),90000,,"ECOLE BILINGUE, INC. &",,94,82504,281503.6,39099,3909899.9,,,,,,,,,,4191403.6,4513607.1,46.6,50.2,4893605.1,5231918.8,54.4,58.1,227.6,2.5,1257.9,13.98,42.402498300592,-71.1328402867538,POINT (-71.1328402867538 42.402498300592)
B1747,2022,268A-40,Yes,Residential,125419,102,310-320 Rindge Avenue,2006,"59-32, 59-34, 59-43, 59-44, 59-45, 59-49",6,Multifamily Housing,Multifamily Housing (141906.0),141906,102,"THE BRICKWORKS, LLC.",,88,680662.9,2322422.2,30616,3061599.9,,,,,,,,,,5384022.1,5530622.7,37.9,39,9717462,9813574.9,68.5,69.2,327.2,2.3,4734.5,33.36,42.3921400992595,-71.1369863742441,POINT (-71.1369863742441 42.3921400992595)
B1049,2022,181-52,Yes,Municipal,8625,0,2029 Massachusetts Avenue,1990,82-13,1,Fire Station,Fire Station (11213.0),11213,,CAMBRIDGE CITY OF,,,58149.7,198406.7,6087.3,608733.3,,,,,,,,,,807140,809961,72,72.2,1194708.8,1202607.6,106.5,107.3,46.7,4.2,79.6,7.1,42.3910154197106,-71.1217790543594,POINT (-71.1217790543594 42.3910154197106)
B1361,2022,129-47,Yes,Non-Residential,119109,6,Blackstone Street 46,2002,637-3,1,Office,Office (21767.0),21767,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,63,126730.6,432404.7,,,,,,,,,,1149990,,1582394.7,1670569.4,72.7,76.7,2594218.4,2693589.3,119.2,123.7,107,4.9,146.1,6.71,42.3642036635889,-71.1151163528523,POINT (-71.1151163528523 42.3642036635889)
B1661,2022,1A-70,Yes,Non-Residential,26034,1,17 Monsignor O'Brien,1988,460-3,1,College/University,College/University (55000.0),55000,,"EFEKTA  ENTRANCE, INC",,,375473,1281113.9,10476,1047600,,,,,,,,,,2328713.8,2316563.7,42.3,42.1,4687098.8,4653078.3,85.2,84.6,146.4,2.7,91.4,1.66,42.3692355174092,-71.072186507114,POINT (-71.072186507114 42.3692355174092)
B1189,2022,159-1,Yes,Non-Residential,1223988,1027,17 Quincy St,1911,318-27,1,Office,Office (21330.0),21330,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,34,108657.9,370740.7,1290.9,129088,,,,,,,449977.7,1088650,,2038456.3,2071137.3,95.6,97.1,2892786.6,2944714.5,135.6,138.1,129.1,6.1,159.3,7.47,42.3735008312442,-71.1152875916394,POINT (-71.1152875916394 42.3735008312442)
B1136,2022,121-113,Yes,Non-Residential,108932,4,1000 Massachusetts Ave,1982,489-18,1,Office,"Office (107099.0),Parking (3000.0)",107099,,1000 MASSACHUSETTS AVE MA LLC,,85,869589.1,2967038.2,33388.7,3338868.6,,,,,,,,,,6305906.8,6462121.8,58.9,60.3,11813519,11838688.1,110.3,110.5,391.9,3.7,744.5,6.95,42.3688091571032,-71.1108503195228,POINT (-71.1108503195228 42.3688091571032)
B1841,2022,183-102,No,Residential,52492,64,2353 Massachusetts Avenue,,25-25,1,,,,,Condo Building - Multiple Owners,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3965284312539,-71.1287261672961,POINT (-71.1287261672961 42.3965284312539)
B1243,2022,170-19,Yes,Non-Residential,159406,0,10 Garden Street,1807,307-2,1,College/University,College/University (23769.0),23769,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,163373.7,557431.3,1215.2,121520,,,,,,,,,,678951.3,696146.6,28.6,29.3,1688403.6,1706458.7,71,71.8,45.9,1.9,56.6,2.38,42.3762171811703,-71.1223571101539,POINT (-71.1223571101539 42.3762171811703)
B1515,2022,168-33,Yes,Non-Residential,53797,0,Two Brattle Square,1994,355-12,1,Office,Office (30674.0),30674,,BRATTLE SQUARE ASSOCIATES,,94,134042.6,457353.4,5949.5,594948.4,,,,,,,,,,1052301.8,1101712.6,34.3,35.9,1905285.3,1949008.3,62.1,63.5,64,2.1,,,42.3733599767436,-71.121875479643,POINT (-71.121875479643 42.3733599767436)
B1316,2022,267F-392,Yes,Residential,462240,428,80 Fawcett Street,2014,"76-2, 76-4",2,Multifamily Housing,"Multifamily Housing (374241.0),Swimming Pool (0.0),Parking (10620.0)",374241,428,"FORT POINT INVESTMENTS, LLC",,86,3702758.5,12633813.5,2136.4,213643.5,,,,,,,,,,12847457,12871454.8,34.3,34.4,35599003.6,35624201.2,95.1,95.2,925,2.5,14943.3,39.93,42.3916658332314,-71.1455690744677,POINT (-71.1455690744677 42.3916658332314)
B1574,2022,"70-84, 70-60, 70-36",Yes,Non-Residential,26070,,275 MASSACHUSETTS AVE,1964,669-5,1,College/University,College/University (44981.0),44981,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,510383.9,1741430.2,49259,4925900,,,,,,,,,,6667330.2,7231550.4,148.2,160.8,10048199.6,10599871.7,223.4,235.7,385,8.6,231.9,5.16,42.3622821745984,-71.0976294749834,POINT (-71.0976294749834 42.3622821745984)
B1813,2022,8-76,No,Non-Residential,105560,3,One Canal Park,,468-3,1,,,,,"ONE CANAL PARK MASSACHUSETTS, LLC,",C/O US REALTY ESTATE INVESTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3695545999463,-71.0767740487479,POINT (-71.0767740487479 42.3695545999463)
B1605,2022,70-86,Yes,Non-Residential,172629,1,750 Main Street,1910,655-1,1,Office,Office (172609.0),172609,,MIT 750 MAIN STREET FEE OWNER LLC,,,1306743.8,4458610.5,58139.9,5813989,,,,,,,,,,10272599.5,10272599.5,59.5,59.5,18588797.8,18588797.8,107.7,107.7,631.2,3.7,1001.2,5.8,42.3628432760561,-71.0962987838478,POINT (-71.0962987838478 42.3628432760561)
B1216,2022,144-1,Yes,Non-Residential,2402868,15,29 Francis Avenue,1943,241-63,1,College/University,College/University (56784.0),56784,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,292621.8,998425.8,,,,,,,,,,1578680,74314,2830665.1,2703466,49.8,47.6,4948368.4,4846825.5,87.1,85.4,193.5,3.4,544.2,9.58,42.3791123997887,-71.1131452986411,POINT (-71.1131452986411 42.3791123997887)
B1442,2022,90-183,Yes,Residential,61434,80,55 Essex Street,1963,542-5,1,Multifamily Housing,Multifamily Housing (50038.0),50038,69,CAMBRIDGE HOUSING AUTHORITY,,25,473088.9,1614179.5,31816,3181600.1,,,,,,,,,,4795779.6,5043095.3,95.8,100.8,7860382.8,8089273,157.1,161.7,283.4,5.7,3527.8,70.5,42.3677202157289,-71.1012604692371,POINT (-71.1012604692371 42.3677202157289)
B1048,2022,"85-1, 85-63",Yes,Municipal,12000,1,300 Norfolk Street,1979,"381-10, 381-15",2,Parking,"Office (9520.0),Parking (47152.0)",56672,,CAMBRIDGE CITY OF,PUBLIC WORKS DEPT,,210501.2,718230,30267.9,3026790.7,,,,,,,,,,3745020.7,4013266.7,393.4,421.6,5189174.3,5470832.6,545.1,574.7,212.7,22.3,164.8,17.31,42.3718571475336,-71.0974405954733,POINT (-71.0974405954733 42.3718571475336)
B1523,2022,52A-21,No,Non-Residential,3691096,0,3 AMES ST (REAR),1931,668-62,1,College/University,College/University (77154.0),77154,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,42.3602240988242,-71.0886825452166,POINT (-71.0886825452166 42.3602240988242)
B1043,2022,119-23,Yes,Municipal,27552,1,806 Massachusetts Avenue,1995,575-2,1,Other - Recreation,Other - Recreation (27999.0),27999,,CAMBRIDGE CITY OF,CITY HALL,,356618,1216780.6,17827.1,1782709,,,,,,,,,,2999489.6,3107229.9,107.1,111,5278830.2,5353764.6,188.5,191.2,182.7,6.5,154.8,5.53,42.366618895215,-71.1063686266266,POINT (-71.1063686266266 42.366618895215)
B1783,2022,269-131,No,Non-Residential,255187,,62 Whittemore Ave,,"24-2, 24-8",2,,,,,IQHQ-ALEWIFE LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3979649523362,-71.1377155637989,POINT (-71.1377155637989 42.3979649523362)
B1330,2022,52A-21,Yes,Non-Residential,3691096,0,222  MEMORIAL DR,1916,668-10,1,College/University,College/University (143921.0),143921,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1562364,5330786.5,,,,,,,,,11175444.1,6890573.8,,23396804.4,23731760.7,162.6,164.9,33385499.7,33788465.9,232,234.8,1424.2,9.9,1852.7,12.87,42.359672535404,-71.0920159357431,POINT (-71.0920159357431 42.359672535404)
B1077,2022,15-3,Yes,Non-Residential,366000,3,215 1st ST,1950,620-13,1,Mixed Use Property,"Office (306723.0),Laboratory (60000.0)",366723,,"ARE-MA REGION NO. 38 LLC,",,15,9577410.6,32678129.1,200964.8,20096484,,,,,,,,,,52774613.1,53012409.3,143.9,144.6,112600069.6,112036192.4,307,305.5,3430.5,9.4,1855.1,5.06,42.3642951301564,-71.0792617533658,POINT (-71.0792617533658 42.3642951301564)
B1731,2022,203B-57,Yes,Residential,60327,76,66 sherman st,1996,106-47,1,Senior Living Community,"Parking (8116.0),Senior Living Community (60327.0)",60327,,CJK SHERMAN LIMITED PARTNERSHIP,C/O CWA,78,424650,1448906.1,24323.3,2432327.7,,,,,,,,,,3881233.8,4003705.2,64.3,66.4,6610881.2,6689851.4,109.6,110.9,231.8,3.8,2668.3,44.23,42.3875554186698,-71.1314589201263,POINT (-71.1314589201263 42.3875554186698)
B1172,2022,144-1,Yes,Non-Residential,2402868,15,38 Oxford St,1959,241-6,1,College/University,College/University (118059.0),118059,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,654839.6,2234313.1,17575.1,1757509,,,,,,,,,254342,4859637,4169255.2,41.2,35.3,8969276,8287765.9,76,70.2,313.1,2.7,75.5,0.64,42.3798964398329,-71.1145668454006,POINT (-71.1145668454006 42.3798964398329)
